x	y
65,507	1,563
65,776	1,563
67,967	1,543
69,373	1,543
71,099	1,543
72,867	1,531
73,166	1,525
73,467	1,525
75,914	1,494
76,225	1,494
78,764	1,457
79,087	1,457
79,738	1,434
80,394	1,428
82,057	1,388
82,057	1,382
82,394	1,376
82,732	1,365
83,470	1,365
85,898	1,365
87,316	1,359
90,595	1,348
90,967	1,343
91,340	1,343
95,159	1,316
95,549	1,316
99,952	1,284
100,363	1,278
102,439	1,268
102,859	1,268
107,599	1,247
108,640	1,217
112,791	1,247
113,646	1,197
116,548	1,242
117,507	1,227
117,507	1,222
119,619	1,142
120,109	1,138
124,619	1,110
125,731	1,105
134,160	1,072
136,376	1,064
136,936	1,064
137,498	1,064
143,246	1,055
143,834	1,051
146,210	1,042
146,210	1,038
153,212	0,990
153,212	0,990
161,319	0,973
166,011	0,946
166,692	0,946
168,063	0,938
173,661	0,912
174,374	0,912
182,535	0,882
186,312	0,871
191,731	0,860
199,746	0,846
204,716	0,833
206,399	0,829
208,097	0,823
210,669	0,819
210,669	0,816
216,797	0,799
218,580	0,796
220,378	0,790
221,282	0,790
227,718	0,770
229,591	0,764
230,533	0,761
237,238	0,752
238,212	0,752
240,171	0,749
242,146	0,746
243,140	0,743
249,189	0,733
254,344	0,730
255,388	0,730
263,894	0,722
264,977	0,722
266,065	0,719
272,684	0,701
273,803	0,701
274,927	0,695
282,923	0,684
284,084	0,681
288,776	0,676
289,961	0,676
300,849	0,665
302,084	0,662
305,818	0,659
312,145	0,651
316,004	0,646
319,911	0,641
325,195	0,636
325,195	0,633
325,195	0,630
331,923	0,620
344,624	0,600
351,754	0,595
353,198	0,595
360,505	0,585
378,964	0,585
408,260	0,553
409,935	0,553
425,327	0,538
425,327	0,535
427,073	0,533
428,826	0,533
443,109	0,520
459,747	0,514
461,634	0,514
469,259	0,512
478,967	0,510
488,877	0,504
503,095	0,502
505,160	0,502
511,405	0,502
513,504	0,502
515,611	0,502
530,607	0,495
532,785	0,495
555,059	0,487
561,921	0,485
568,868	0,481
571,202	0,479
580,637	0,474
583,020	0,474
590,227	0,472
592,650	0,472
595,082	0,472
595,082	0,470
604,911	0,466
607,394	0,466
609,886	0,466
627,624	0,455
630,200	0,455
659,241	0,442
661,947	0,440
675,642	0,435
678,414	0,435
698,146	0,433
730,822	0,427
733,821	0,426
736,833	0,426
755,164	0,424
758,263	0,424
789,964	0,419
803,011	0,417
803,011	0,415
829,758	0,409
833,163	0,407
840,016	0,405
850,400	0,402
853,891	0,402
857,395	0,400
860,914	0,400
882,332	0,394
889,589	0,392
889,589	0,391
930,583	0,383
965,524	0,375
969,487	0,375
977,461	0,373
977,461	0,372
1014,863	0,370
1019,029	0,370
1061,631	0,370
1101,493	0,370
1106,013	0,370
1133,528	0,370
1138,181	0,369
1152,252	0,367
1156,980	0,367
1166,496	0,364
1171,284	0,364
1195,516	0,360
1215,263	0,357
